"﻿""filename""",relative_path,size_mb,modified
HAMELEERS_ETAL_2026.pdf,HAMELEERS_ETAL_2026.pdf,"0,16",05-05-2026 17:11:23
HESELTINE_2023.pdf,HESELTINE_2023.pdf,"2,03",05-05-2026 18:30:21
HOFFMANN_ETAL_2025.pdf,HOFFMANN_ETAL_2025.pdf,"1,25",05-05-2026 17:07:58
ITUASSU_2023.pdf,ITUASSU_2023.pdf,"0,23",05-05-2026 18:19:47
JAMIL-MARQUES_2024.pdf,JAMIL-MARQUES_2024.pdf,"0,36",05-05-2026 18:36:48
KANGASLAHTI_2026.pdf,KANGASLAHTI_2026.pdf,"1,69",05-05-2026 15:58:49
KLINGER_ETAL_2023.pdf,KLINGER_ETAL_2023.pdf,"1,38",05-05-2026 15:37:18
LEERSSEN_ETAL_2023.pdf,LEERSSEN_ETAL_2023.pdf,"2,12",05-05-2026 17:08:48
LOPEZ-ESCARENA_ETAL_2025.pdf,LOPEZ-ESCARENA_ETAL_2025.pdf,"0,19",05-05-2026 17:41:20
LUKITO_2019.pdf,LUKITO_2019.pdf,"0,61",05-05-2026 15:39:51
LUNA_ETAL_2022_CHILE.pdf,LUNA_ETAL_2022_CHILE.pdf,"4,69",05-05-2026 18:38:35
MAURER_ETAL_2023.pdf,MAURER_ETAL_2023.pdf,"0,66",05-05-2026 18:36:13
NICHOLS_ETAL_2020.pdf,NICHOLS_ETAL_2020.pdf,"0,7",05-05-2026 15:52:01
OLOF-LARSSON_2020.pdf,OLOF-LARSSON_2020.pdf,"0,77",05-05-2026 17:02:09
OLOF-LARSSON_ETAL_2025.pdf,OLOF-LARSSON_ETAL_2025.pdf,"1,08",05-05-2026 17:01:51
ORCHARD_ETAL_2024.pdf,ORCHARD_ETAL_2024.pdf,"0,65",05-05-2026 18:25:44
OSNABRUGGE_ETAL_2023.pdf,OSNABRUGGE_ETAL_2023.pdf,"0,85",05-05-2026 16:50:48
PACHECO_2024.pdf,PACHECO_2024.pdf,"3,06",05-05-2026 18:15:30
PALLISTER_2024.pdf,PALLISTER_2024.pdf,"0,35",05-05-2026 18:30:08
PENUCCI_2024.pdf,PENUCCI_2024.pdf,"6,55",05-05-2026 18:36:58
SCHMOKEL_ETAL_2022.pdf,SCHMOKEL_ETAL_2022.pdf,"4,99",05-05-2026 17:45:11
THEOCHARIS_ETAL_2021.pdf,THEOCHARIS_ETAL_2021.pdf,"0,42",05-05-2026 15:44:53
THORSON_ETAL_2019.pdf,THORSON_ETAL_2019.pdf,"2,29",05-05-2026 17:09:46
UNULU_2024.pdf,UNULU_2024.pdf,"0,84",05-05-2026 17:02:53
VRIELINK_ETAL_2025.pdf,VRIELINK_ETAL_2025.pdf,"0,76",05-05-2026 17:25:22
WANG_2024.pdf,WANG_2024.pdf,"0,28",05-05-2026 16:49:28
WIRSCHING_ETAL_2025.pdf,WIRSCHING_ETAL_2025.pdf,"0,44",05-05-2026 15:57:36
YANG_ETAL_2023.pdf,YANG_ETAL_2023.pdf,"0,73",05-05-2026 15:55:17
ZHAO_ETAL_2024.pdf,ZHAO_ETAL_2024.pdf,"3,36",05-05-2026 18:38:00
BackMatter-2019.pdf,CHANDLER_FUCHS_eds/BackMatter-2019.pdf,"0,87",05-05-2026 16:01:15
Boehnert-ContradictionsTwitterSocial-2019.pdf,CHANDLER_FUCHS_eds/Boehnert-ContradictionsTwitterSocial-2019.pdf,"1,31",05-05-2026 15:53:03
Brighi-BeyondRepression-2019.pdf,CHANDLER_FUCHS_eds/Brighi-BeyondRepression-2019.pdf,"1,2",05-05-2026 16:00:26
Chandler-DigitalGovernanceAnthropocene-2019.pdf,CHANDLER_FUCHS_eds/Chandler-DigitalGovernanceAnthropocene-2019.pdf,"1,22",05-05-2026 15:48:34
Chandler-StakeCritiqueBig-2019.pdf,CHANDLER_FUCHS_eds/Chandler-StakeCritiqueBig-2019.pdf,"1,06",05-05-2026 15:52:46
Cowley-PosthumanismSpectrum-2019.pdf,CHANDLER_FUCHS_eds/Cowley-PosthumanismSpectrum-2019.pdf,"1,11",05-05-2026 15:52:55
Dean-CritiqueCollectivity-2019.pdf,CHANDLER_FUCHS_eds/Dean-CritiqueCollectivity-2019.pdf,"1,71",05-05-2026 16:00:40
EditorsContributors-2019.pdf,CHANDLER_FUCHS_eds/EditorsContributors-2019.pdf,"1,17",05-05-2026 16:01:06
FrontMatter-2019.pdf,CHANDLER_FUCHS_eds/FrontMatter-2019.pdf,"0,93",05-05-2026 15:48:20
Fuchs-AppropriationDigitalMachines-2019.pdf,CHANDLER_FUCHS_eds/Fuchs-AppropriationDigitalMachines-2019.pdf,"1,4",05-05-2026 16:01:03
Fuchs-BeyondBigData-2019.pdf,CHANDLER_FUCHS_eds/Fuchs-BeyondBigData-2019.pdf,"1,04",05-05-2026 15:52:39
Fuchs-Introduction-2019.pdf,CHANDLER_FUCHS_eds/Fuchs-Introduction-2019.pdf,"1,05",05-05-2026 15:48:31
Fuchs-KarlMarxAge-2019.pdf,CHANDLER_FUCHS_eds/Fuchs-KarlMarxAge-2019.pdf,"2,3",05-05-2026 15:52:42
Gerbaudo-PlatformParty-2019.pdf,CHANDLER_FUCHS_eds/Gerbaudo-PlatformParty-2019.pdf,"1,7",05-05-2026 16:00:50
Goodwin-WageWorkersSlaves-2019.pdf,CHANDLER_FUCHS_eds/Goodwin-WageWorkersSlaves-2019.pdf,"1,02",05-05-2026 16:00:36
Index-2019.pdf,CHANDLER_FUCHS_eds/Index-2019.pdf,"2,46",05-05-2026 16:01:12
Jarrett-ReproductiveLens-2019.pdf,CHANDLER_FUCHS_eds/Jarrett-ReproductiveLens-2019.pdf,"1,46",05-05-2026 15:53:00
Kavada-MovementParty-2019.pdf,CHANDLER_FUCHS_eds/Kavada-MovementParty-2019.pdf,"1,28",05-05-2026 16:00:54
LICHT_2022_cross-lingual_text_classification_OSF.pdf,CHANDLER_FUCHS_eds/LICHT_2022_cross-lingual_text_classification_OSF.pdf,"0,18",05-05-2026 16:31:24
Moore-EaffectivePrecarityControl-2019.pdf,CHANDLER_FUCHS_eds/Moore-EaffectivePrecarityControl-2019.pdf,"1,93",05-05-2026 15:59:24
Negri-AppropriationFixedCapital-2019.pdf,CHANDLER_FUCHS_eds/Negri-AppropriationFixedCapital-2019.pdf,"1,62",05-05-2026 16:00:57
Qiu-GoodbyeiSlave-2019.pdf,CHANDLER_FUCHS_eds/Qiu-GoodbyeiSlave-2019.pdf,"1,89",05-05-2026 16:00:31
Rekret-SeeingLikeCyborg-2019.pdf,CHANDLER_FUCHS_eds/Rekret-SeeingLikeCyborg-2019.pdf,"1,37",05-05-2026 15:52:51
TableContents-2019.pdf,CHANDLER_FUCHS_eds/TableContents-2019.pdf,"0,82",05-05-2026 15:48:26
Tambakaki-SubjectsContextsModes-2019.pdf,CHANDLER_FUCHS_eds/Tambakaki-SubjectsContextsModes-2019.pdf,"1,1",05-05-2026 16:00:44
