"﻿""filename""",relative_path,size_mb,modified
ALVAREZ-FUENTES_ETAL_2024.pdf,ALVAREZ-FUENTES_ETAL_2024.pdf,"1,06",05-05-2026 18:03:15
ANSTEAD_ETAL_2025.pdf,ANSTEAD_ETAL_2025.pdf,"1,88",05-05-2026 17:43:25
ARGOTE_ETAL_2025.pdf,ARGOTE_ETAL_2025.pdf,"2,35",05-05-2026 18:19:16
ARNAUDO_2017.pdf,ARNAUDO_2017.pdf,"2,19",05-05-2026 18:15:09
ARUGUETE_ETAL_2024.pdf,ARUGUETE_ETAL_2024.pdf,"0,88",05-05-2026 15:34:50
BOSSETTA_2020.pdf,BOSSETTA_2020.pdf,"0,13",05-05-2026 17:58:03
BOULIANNE_ETAL_2024.pdf,BOULIANNE_ETAL_2024.pdf,"0,48",05-05-2026 17:06:34
CALVO_ETAL_2021.pdf,CALVO_ETAL_2021.pdf,"3,32",05-05-2026 18:23:17
CARTER_ETAL_2023.pdf,CARTER_ETAL_2023.pdf,"0,48",05-05-2026 16:39:27
CAZZAMATTA_ETAL_2024.pdf,CAZZAMATTA_ETAL_2024.pdf,"0,71",05-05-2026 18:03:41
CHAGAS_2022.pdf,CHAGAS_2022.pdf,"6,49",05-05-2026 18:05:55
DICOCCO_ETAL_2022.pdf,DICOCCO_ETAL_2022.pdf,"1,24",05-05-2026 16:51:50
DOBBER_ETAL_2020.pdf,DOBBER_ETAL_2020.pdf,"0,33",05-05-2026 18:32:39
DOURADO_ETAL_2024.pdf,DOURADO_ETAL_2024.pdf,"0,29",05-05-2026 18:07:10
EBSCO-Metadata-05_05_2026.pdf,EBSCO-Metadata-05_05_2026.pdf,"0,05",05-05-2026 18:22:34
GAMBOA_ETAL_2024.pdf,GAMBOA_ETAL_2024.pdf,"3,9",05-05-2026 18:18:54
GIL-DE-ZUNIGA_ETAL_2020.pdf,GIL-DE-ZUNIGA_ETAL_2020.pdf,"0,18",05-05-2026 17:05:11
GREENE_ETAL_2022.pdf,GREENE_ETAL_2022.pdf,"0,53",05-05-2026 18:21:32
